date,county,state,fips,cases,deaths
2020-02-01,Cook,Illinois,17031.0,2,0.0
2020-03-01,Cook,Illinois,17031.0,3,0.0
2020-04-01,Adams,Illinois,17001.0,2,0.0
2020-04-01,Bond,Illinois,17005.0,2,0.0
2020-04-01,Bureau,Illinois,17011.0,2,0.0
2020-04-01,Carroll,Illinois,17015.0,3,1.0
2020-04-01,Champaign,Illinois,17019.0,33,0.0
2020-04-01,Christian,Illinois,17021.0,14,0.0
2020-04-01,Clark,Illinois,17023.0,1,0.0
2020-04-01,Clinton,Illinois,17027.0,8,0.0
2020-04-01,Cook,Illinois,17031.0,5152,95.0
2020-04-01,Crawford,Illinois,17033.0,1,0.0
2020-04-01,Cumberland,Illinois,17035.0,1,0.0
2020-04-01,DeKalb,Illinois,17037.0,14,0.0
2020-04-01,Douglas,Illinois,17041.0,8,0.0
2020-04-01,DuPage,Illinois,17043.0,392,12.0
2020-04-01,Fayette,Illinois,17051.0,2,0.0
2020-04-01,Ford,Illinois,17053.0,1,0.0
2020-04-01,Franklin,Illinois,17055.0,1,0.0
2020-04-01,Grundy,Illinois,17063.0,4,0.0
2020-04-01,Henry,Illinois,17073.0,3,0.0
2020-04-01,Iroquois,Illinois,17075.0,2,0.0
2020-04-01,Jackson,Illinois,17077.0,4,0.0
2020-04-01,Jo Daviess,Illinois,17085.0,3,0.0
2020-04-01,Kane,Illinois,17089.0,142,8.0
2020-04-01,Kankakee,Illinois,17091.0,57,0.0
2020-04-01,Kendall,Illinois,17093.0,27,2.0
2020-04-01,Knox,Illinois,17095.0,1,0.0
2020-04-01,LaSalle,Illinois,17099.0,6,1.0
2020-04-01,Lake,Illinois,17097.0,477,7.0
2020-04-01,Livingston,Illinois,17105.0,5,0.0
2020-04-01,Macon,Illinois,17115.0,2,0.0
2020-04-01,Madison,Illinois,17119.0,25,0.0
2020-04-01,Marion,Illinois,17121.0,2,0.0
2020-04-01,Marshall,Illinois,17123.0,1,0.0
2020-04-01,Massac,Illinois,17127.0,1,0.0
2020-04-01,McHenry,Illinois,17111.0,69,2.0
2020-04-01,McLean,Illinois,17113.0,19,2.0
2020-04-01,Menard,Illinois,17129.0,1,0.0
2020-04-01,Monroe,Illinois,17133.0,3,0.0
2020-04-01,Montgomery,Illinois,17135.0,2,0.0
2020-04-01,Morgan,Illinois,17137.0,5,1.0
2020-04-01,Ogle,Illinois,17141.0,1,0.0
2020-04-01,Peoria,Illinois,17143.0,10,0.0
2020-04-01,Randolph,Illinois,17157.0,7,0.0
2020-04-01,Rock Island,Illinois,17161.0,17,0.0
2020-04-01,Saline,Illinois,17165.0,1,0.0
2020-04-01,Sangamon,Illinois,17167.0,17,2.0
2020-04-01,St. Clair,Illinois,17163.0,53,2.0
2020-04-01,Stephenson,Illinois,17177.0,3,0.0
2020-04-01,Tazewell,Illinois,17179.0,4,0.0
2020-04-01,Unknown,Illinois,,16,0.0
2020-04-01,Vermilion,Illinois,17183.0,1,0.0
2020-04-01,Washington,Illinois,17189.0,1,0.0
2020-04-01,Whiteside,Illinois,17195.0,5,1.0
2020-04-01,Will,Illinois,17197.0,322,9.0
2020-04-01,Williamson,Illinois,17199.0,1,0.0
2020-04-01,Winnebago,Illinois,17201.0,18,1.0
2020-04-01,Woodford,Illinois,17203.0,3,0.0
2020-05-01,Adams,Illinois,17001.0,40,1.0
2020-05-01,Alexander,Illinois,17003.0,3,0.0
2020-05-01,Bond,Illinois,17005.0,6,1.0
2020-05-01,Boone,Illinois,17007.0,113,9.0
2020-05-01,Brown,Illinois,17009.0,1,0.0
2020-05-01,Bureau,Illinois,17011.0,10,0.0
2020-05-01,Calhoun,Illinois,17013.0,1,0.0
2020-05-01,Carroll,Illinois,17015.0,9,2.0
2020-05-01,Cass,Illinois,17017.0,34,0.0
2020-05-01,Champaign,Illinois,17019.0,143,6.0
2020-05-01,Christian,Illinois,17021.0,29,5.0
2020-05-01,Clark,Illinois,17023.0,5,0.0
2020-05-01,Clay,Illinois,17025.0,2,0.0
2020-05-01,Clinton,Illinois,17027.0,110,4.0
2020-05-01,Coles,Illinois,17029.0,22,1.0
2020-05-01,Cook,Illinois,17031.0,38668,1673.0
2020-05-01,Crawford,Illinois,17033.0,10,0.0
2020-05-01,Cumberland,Illinois,17035.0,3,0.0
2020-05-01,De Witt,Illinois,17039.0,3,0.0
2020-05-01,DeKalb,Illinois,17037.0,105,1.0
2020-05-01,Douglas,Illinois,17041.0,16,0.0
2020-05-01,DuPage,Illinois,17043.0,3256,174.0
2020-05-01,Effingham,Illinois,17049.0,5,1.0
2020-05-01,Fayette,Illinois,17051.0,16,2.0
2020-05-01,Ford,Illinois,17053.0,9,1.0
2020-05-01,Franklin,Illinois,17055.0,8,0.0
2020-05-01,Fulton,Illinois,17057.0,3,0.0
2020-05-01,Gallatin,Illinois,17059.0,2,0.0
2020-05-01,Greene,Illinois,17061.0,3,0.0
2020-05-01,Grundy,Illinois,17063.0,37,0.0
2020-05-01,Hamilton,Illinois,17065.0,2,0.0
2020-05-01,Hancock,Illinois,17067.0,6,0.0
2020-05-01,Hardin,Illinois,17069.0,1,0.0
2020-05-01,Henderson,Illinois,17071.0,5,0.0
2020-05-01,Henry,Illinois,17073.0,49,0.0
2020-05-01,Iroquois,Illinois,17075.0,31,0.0
2020-05-01,Jackson,Illinois,17077.0,120,9.0
2020-05-01,Jasper,Illinois,17079.0,44,5.0
2020-05-01,Jefferson,Illinois,17081.0,85,12.0
2020-05-01,Jersey,Illinois,17083.0,12,1.0
2020-05-01,Jo Daviess,Illinois,17085.0,13,0.0
2020-05-01,Johnson,Illinois,17087.0,4,0.0
2020-05-01,Kane,Illinois,17089.0,1677,52.0
2020-05-01,Kankakee,Illinois,17091.0,350,28.0
2020-05-01,Kendall,Illinois,17093.0,281,7.0
2020-05-01,Knox,Illinois,17095.0,47,0.0
2020-05-01,LaSalle,Illinois,17099.0,54,1.0
2020-05-01,Lake,Illinois,17097.0,3766,140.0
2020-05-01,Lawrence,Illinois,17101.0,3,0.0
2020-05-01,Lee,Illinois,17103.0,23,0.0
2020-05-01,Livingston,Illinois,17105.0,20,1.0
2020-05-01,Logan,Illinois,17107.0,7,0.0
2020-05-01,Macon,Illinois,17115.0,109,12.0
2020-05-01,Macoupin,Illinois,17117.0,31,0.0
2020-05-01,Madison,Illinois,17119.0,335,22.0
2020-05-01,Marion,Illinois,17121.0,34,0.0
2020-05-01,Marshall,Illinois,17123.0,4,0.0
2020-05-01,Mason,Illinois,17125.0,12,0.0
2020-05-01,Massac,Illinois,17127.0,4,0.0
2020-05-01,McDonough,Illinois,17109.0,18,0.0
2020-05-01,McHenry,Illinois,17111.0,666,37.0
2020-05-01,McLean,Illinois,17113.0,97,3.0
2020-05-01,Menard,Illinois,17129.0,9,0.0
2020-05-01,Mercer,Illinois,17131.0,8,0.0
2020-05-01,Monroe,Illinois,17133.0,71,10.0
2020-05-01,Montgomery,Illinois,17135.0,26,0.0
2020-05-01,Morgan,Illinois,17137.0,24,1.0
2020-05-01,Moultrie,Illinois,17139.0,5,0.0
2020-05-01,Ogle,Illinois,17141.0,122,2.0
2020-05-01,Peoria,Illinois,17143.0,93,3.0
2020-05-01,Perry,Illinois,17145.0,24,0.0
2020-05-01,Piatt,Illinois,17147.0,7,0.0
2020-05-01,Pike,Illinois,17149.0,1,0.0
