county,cases,deaths,fips
Cook,1193914,14936.0,17031.0
DuPage,224631,1806.0,17043.0
Will,169447,1612.0,17197.0
Lake,159179,1466.0,17097.0
Kane,131751,1179.0,17089.0
McHenry,79189,511.0,17111.0
Winnebago,79104,855.0,17201.0
Madison,71577,866.0,17119.0
St. Clair,70571,776.0,17163.0
Champaign,67086,296.0,17019.0
Sangamon,56637,432.0,17167.0
McLean,52348,330.0,17113.0
Peoria,47902,555.0,17143.0
Tazewell,37644,500.0,17179.0
Rock Island,33837,523.0,17161.0
Kendall,32538,171.0,17093.0
Macon,31113,354.0,17115.0
LaSalle,29734,442.0,17099.0
Kankakee,29350,373.0,17091.0
Vermilion,28275,313.0,17183.0
DeKalb,24537,201.0,17037.0
Williamson,22816,263.0,17199.0
Adams,22525,238.0,17001.0
Jackson,15840,130.0,17077.0
Whiteside,15768,268.0,17195.0
Coles,15526,175.0,17029.0
Ogle,14285,136.0,17141.0
Boone,14162,130.0,17007.0
Grundy,13009,140.0,17063.0
Macoupin,12975,171.0,17117.0
Henry,12884,150.0,17073.0
Knox,12722,246.0,17095.0
Franklin,12272,178.0,17055.0
Clinton,12066,122.0,17027.0
Marion,11933,217.0,17121.0
Stephenson,11687,176.0,17177.0
Jefferson,11159,176.0,17081.0
Livingston,10928,148.0,17105.0
Effingham,10711,150.0,17049.0
Woodford,10578,124.0,17203.0
Randolph,10567,132.0,17157.0
Christian,10330,131.0,17021.0
Fulton,10257,135.0,17057.0
Logan,9922,100.0,17107.0
Montgomery,9872,111.0,17135.0
Morgan,9661,144.0,17137.0
Monroe,9633,128.0,17133.0
Lee,9020,118.0,17103.0
Bureau,8461,140.0,17011.0
Saline,7935,111.0,17165.0
Perry,7509,106.0,17145.0
McDonough,7303,105.0,17109.0
Iroquois,7294,118.0,17075.0
Fayette,7155,104.0,17051.0
Douglas,6609,61.0,17041.0
Jersey,6320,91.0,17083.0
Shelby,6262,80.0,17173.0
Crawford,6249,61.0,17033.0
Lawrence,5489,52.0,17101.0
Union,5415,68.0,17181.0
Wayne,5320,85.0,17191.0
Edgar,5209,79.0,17045.0
Richland,5167,83.0,17159.0
Pike,5050,70.0,17149.0
Clark,4887,60.0,17023.0
Clay,4750,74.0,17025.0
Cass,4640,44.0,17017.0
Piatt,4575,29.0,17147.0
Johnson,4538,46.0,17087.0
Ford,4496,75.0,17053.0
De Witt,4424,45.0,17039.0
Hancock,4420,58.0,17067.0
White,4413,59.0,17193.0
Bond,4370,37.0,17005.0
Carroll,4301,49.0,17015.0
Jo Daviess,4105,39.0,17085.0
Moultrie,4100,52.0,17139.0
Warren,4089,87.0,17187.0
Mercer,4087,47.0,17131.0
Mason,3980,61.0,17125.0
Massac,3887,71.0,17127.0
Wabash,3730,31.0,17185.0
Greene,3663,58.0,17061.0
Menard,3560,24.0,17129.0
Washington,3455,41.0,17189.0
Cumberland,3381,49.0,17035.0
Marshall,2809,33.0,17123.0
Jasper,2691,33.0,17079.0
Brown,2430,21.0,17009.0
Hamilton,2181,34.0,17065.0
Schuyler,1977,29.0,17169.0
Edwards,1749,29.0,17047.0
Pulaski,1730,19.0,17153.0
Calhoun,1537,8.0,17013.0
Stark,1536,33.0,17175.0
Gallatin,1415,18.0,17059.0
Alexander,1288,15.0,17003.0
Scott,1276,12.0,17171.0
Henderson,1166,28.0,17071.0
Putnam,1158,10.0,17155.0
Hardin,1059,20.0,17069.0
Pope,960,8.0,17151.0
