county,cases,deaths,fips,log_cases,log_deaths
Cook,1193914,14936.0,17031.0,6.076973044824687,4.174234304941022
DuPage,224631,1806.0,17043.0,5.351469690482486,3.256717745977487
Will,169447,1612.0,17197.0,5.229033884209223,3.2073650374690716
Lake,159179,1466.0,17097.0,5.201885772034235,3.166133970305109
Kane,131751,1179.0,17089.0,5.119753920224878,3.071513805095089
McHenry,79189,511.0,17111.0,4.898664858722267,2.708420900134713
Winnebago,79104,855.0,17201.0,4.898198444736685,2.931966114728173
Madison,71577,866.0,17119.0,4.854773491892081,2.937517892017347
St. Clair,70571,776.0,17163.0,4.848626271485499,2.8898617212581885
Champaign,67086,296.0,17019.0,4.826631897857146,2.4712917110589387
Sangamon,56637,432.0,17167.0,4.753100241186811,2.635483746814912
McLean,52348,330.0,17113.0,4.7189000937406265,2.5185139398778875
Peoria,47902,555.0,17143.0,4.680353646417297,2.7442929831226763
Tazewell,37644,500.0,17179.0,4.57569576474537,2.6989700043360187
Rock Island,33837,523.0,17161.0,4.5293918513764115,2.718501688867274
Kendall,32538,171.0,17093.0,4.512390854819099,2.2329961103921536
Macon,31113,354.0,17115.0,4.492941888981732,2.5490032620257876
LaSalle,29734,442.0,17099.0,4.473253337091734,2.645422269349092
Kankakee,29350,373.0,17091.0,4.467608105583634,2.571708831808688
Vermilion,28275,313.0,17183.0,4.451402613597493,2.4955443375464483
DeKalb,24537,201.0,17037.0,4.389821462910523,2.303196057420489
Williamson,22816,263.0,17199.0,4.3582395081717715,2.419955748489758
Adams,22525,238.0,17001.0,4.352664799651101,2.376576957056512
Jackson,15840,130.0,17077.0,4.199755177253475,2.113943352306837
Whiteside,15768,268.0,17195.0,4.197776611271387,2.428134794028789
Coles,15526,175.0,17029.0,4.191059581827398,2.2430380486862944
Ogle,14285,136.0,17141.0,4.154880244718762,2.1335389083702174
Boone,14162,130.0,17007.0,4.151124590050682,2.113943352306837
Grundy,13009,140.0,17063.0,4.114243913688908,2.146128035678238
Macoupin,12975,171.0,17117.0,4.113107366520495,2.2329961103921536
Henry,12884,150.0,17073.0,4.110050716147653,2.1760912590556813
Knox,12722,246.0,17095.0,4.104555391240513,2.3909351071033793
Franklin,12272,178.0,17055.0,4.088915346604906,2.250420002308894
Clinton,12066,122.0,17027.0,4.081563320980385,2.0863598306747484
Marion,11933,217.0,17121.0,4.0767496406240005,2.3364597338485296
Stephenson,11687,176.0,17177.0,4.067703044040066,2.24551266781415
Jefferson,11159,176.0,17081.0,4.047625277581783,2.24551266781415
Livingston,10928,148.0,17105.0,4.038540686337457,2.1702617153949575
Effingham,10711,150.0,17049.0,4.029830019310658,2.1760912590556813
Woodford,10578,124.0,17203.0,4.0244035626829655,2.093421685162235
Randolph,10567,132.0,17157.0,4.023951707423388,2.12057393120585
Christian,10330,131.0,17021.0,4.014100321519621,2.1172712956557644
Fulton,10257,135.0,17057.0,4.011020355516257,2.130333768495006
Logan,9922,100.0,17107.0,3.9965992227001665,2.0
Montgomery,9872,111.0,17135.0,3.9944051466891666,2.0453229787866576
Morgan,9661,144.0,17137.0,3.985022082109535,2.1583624920952498
Monroe,9633,128.0,17133.0,3.983761560286165,2.1072099696478683
